Date,Illumination
01/03/2010,99.7
02/03/2010,97.3
03/03/2010,92.4
04/03/2010,85.5
05/03/2010,77.1
06/03/2010,67.5
07/03/2010,57.5
08/03/2010,47.3
09/03/2010,37.5
10/03/2010,28.4
11/03/2010,20.2
12/03/2010,13.2
13/03/2010,7.6
14/03/2010,3.4
15/03/2010,0.9
16/03/2010,0.2
17/03/2010,1.3
18/03/2010,4.4
19/03/2010,9.4
20/03/2010,16.4
21/03/2010,25.1
22/03/2010,35.2
23/03/2010,46.4
24/03/2010,57.9
25/03/2010,69.2
26/03/2010,79.5
27/03/2010,88.1
28/03/2010,94.6
29/03/2010,98.4
30/03/2010,99.8
31/03/2010,98.6
01/04/2010,95
02/04/2010,89.4
03/04/2010,82.1
04/04/2010,73.6
05/04/2010,64.3
06/04/2010,54.6
07/04/2010,45
08/04/2010,35.7
09/04/2010,27
10/04/2010,19.1
11/04/2010,12.3
12/04/2010,6.8
13/04/2010,2.9
14/04/2010,0.6
15/04/2010,0.3
16/04/2010,2.1
17/04/2010,6.1
18/04/2010,12.3
19/04/2010,20.6
20/04/2010,30.6
21/04/2010,41.8
22/04/2010,53.5
23/04/2010,65.1
24/04/2010,75.9
25/04/2010,85.1
26/04/2010,92.4
27/04/2010,97.2
28/04/2010,99.6
29/04/2010,99.5
30/04/2010,97
01/05/2010,92.6
02/05/2010,86.4
03/05/2010,78.9
04/05/2010,70.5
05/05/2010,61.4
06/05/2010,52
07/05/2010,42.7
08/05/2010,33.6
09/05/2010,25
10/05/2010,17.2
11/05/2010,10.6
12/05/2010,5.3
13/05/2010,1.7
14/05/2010,0.1
15/05/2010,0.9
16/05/2010,4
17/05/2010,9.6
18/05/2010,17.5
19/05/2010,27.2
20/05/2010,38.3
21/05/2010,50.1
22/05/2010,61.8
23/05/2010,72.8
24/05/2010,82.4
25/05/2010,90.2
26/05/2010,95.7
27/05/2010,99
28/05/2010,99.9
29/05/2010,98.6
30/05/2010,95.3
31/05/2010,90.3
01/06/2010,83.9
02/06/2010,76.3
03/06/2010,67.9
04/06/2010,58.8
05/06/2010,49.5
06/06/2010,40
07/06/2010,30.8
08/06/2010,22.1
09/06/2010,14.4
10/06/2010,7.9
11/06/2010,3.1
12/06/2010,0.5
13/06/2010,0.2
14/06/2010,2.6
15/06/2010,7.6
16/06/2010,15
17/06/2010,24.4
18/06/2010,35.3
19/06/2010,46.9
20/06/2010,58.6
21/06/2010,69.6
22/06/2010,79.5
23/06/2010,87.6
24/06/2010,93.8
25/06/2010,97.9
26/06/2010,99.8
27/06/2010,99.7
28/06/2010,97.6
29/06/2010,93.7
30/06/2010,88.4
01/07/2010,81.7
02/07/2010,73.9
03/07/2010,65.2
04/07/2010,55.9
05/07/2010,46.1
06/07/2010,36.3
07/07/2010,26.8
08/07/2010,18.1
09/07/2010,10.5
10/07/2010,4.7
11/07/2010,1.1
12/07/2010,0
13/07/2010,1.7
14/07/2010,6.1
15/07/2010,13
16/07/2010,21.9
17/07/2010,32.4
18/07/2010,43.7
19/07/2010,55.1
20/07/2010,66.1
21/07/2010,76
22/07/2010,84.5
23/07/2010,91.2
24/07/2010,96.1
25/07/2010,99
26/07/2010,100
27/07/2010,99.1
28/07/2010,96.4
29/07/2010,92.2
30/07/2010,86.4
31/07/2010,79.3
01/08/2010,71.1
02/08/2010,61.8
03/08/2010,51.8
04/08/2010,41.5
05/08/2010,31.3
06/08/2010,21.7
07/08/2010,13.2
08/08/2010,6.5
09/08/2010,2
10/08/2010,0.1
11/08/2010,1.1
12/08/2010,4.8
13/08/2010,11
14/08/2010,19.3
15/08/2010,29.2
16/08/2010,39.9
17/08/2010,51
18/08/2010,61.8
19/08/2010,71.7
20/08/2010,80.5
21/08/2010,87.8
22/08/2010,93.4
23/08/2010,97.3
24/08/2010,99.4
25/08/2010,99.8
26/08/2010,98.4
27/08/2010,95.3
28/08/2010,90.6
29/08/2010,84.2
30/08/2010,76.4
31/08/2010,67.3
01/09/2010,57.2
02/09/2010,46.4
03/09/2010,35.6
04/09/2010,25.2
05/09/2010,15.9
06/09/2010,8.4
07/09/2010,3.1
08/09/2010,0.5
09/09/2010,0.6
10/09/2010,3.5
11/09/2010,8.9
12/09/2010,16.4
13/09/2010,25.5
14/09/2010,35.5
15/09/2010,46.1
16/09/2010,56.5
17/09/2010,66.4
18/09/2010,75.4
19/09/2010,83.2
20/09/2010,89.6
21/09/2010,94.6
22/09/2010,97.9
23/09/2010,99.6
24/09/2010,99.6
25/09/2010,97.7
26/09/2010,94
27/09/2010,88.5
28/09/2010,81.2
29/09/2010,72.3
30/09/2010,62.2
01/10/2010,51.1
02/10/2010,39.8
03/10/2010,28.8
04/10/2010,18.9
05/10/2010,10.6
06/10/2010,4.6
07/10/2010,1
08/10/2010,0.3
09/10/2010,2.2
10/10/2010,6.6
11/10/2010,13
12/10/2010,21.1
13/10/2010,30.4
14/10/2010,40.2
15/10/2010,50.2
16/10/2010,60
17/10/2010,69.1
18/10/2010,77.4
19/10/2010,84.7
20/10/2010,90.7
21/10/2010,95.4
22/10/2010,98.4
23/10/2010,99.8
24/10/2010,99.3
25/10/2010,96.7
26/10/2010,92.1
27/10/2010,85.5
28/10/2010,77
29/10/2010,66.9
30/10/2010,55.7
31/10/2010,44.1
01/11/2010,32.2
02/11/2010,21.8
03/11/2010,12.9
04/11/2010,6.2
05/11/2010,1.9
06/11/2010,0.2
07/11/2010,1.1
08/11/2010,4.3
09/11/2010,9.7
10/11/2010,16.7
11/11/2010,24.9
12/11/2010,34
13/11/2010,43.4
14/11/2010,52.9
15/11/2010,62.2
16/11/2010,71
17/11/2010,79
18/11/2010,86.1
19/11/2010,92
20/11/2010,96.4
21/11/2010,99.2
22/11/2010,99.9
23/11/2010,98.5
24/11/2010,94.8
25/11/2010,88.8
26/11/2010,80.7
27/11/2010,70.9
28/11/2010,59.8
29/11/2010,48.1
30/11/2010,36.4
01/12/2010,25.5
02/12/2010,16.1
03/12/2010,8.6
