"full.date","ID","Total_hits","Diff_logger","Rhodo","Logstump","cover","Bamboo","Distance","Distance20","Act_time","Activity","Activity20","Moon","Sex","season","season.n","datalog","trap"
2010-03-23,"M107",1,1,0,0.0109635347398304,0,0,0,0,0,0,0,46.4,"F","EBS",1,5,1
2010-03-23,"M118",1,1,0,0.605800173157119,0,0,0,0,0,0,0,46.4,"M","EBS",1,5,1
2010-03-23,"M137",1,1,1,0.617477654312789,1,0,0,0,0,0,0,46.4,"M","EBS",1,5,1
2010-03-23,"M141",1,1,1,0,1,0,0,0,0,0,0,46.4,"M","EBS",1,5,1
2010-03-23,"M142",1,1,0,1.5305634678321,0,0,0,0,0,0,0,46.4,"F","EBS",1,5,1
2010-03-23,"M144",1,1,0,0.53941444073621,0,0,0,0,0,0,0,46.4,"F","EBS",1,5,1
2010-03-23,"M145",1,1,0,1.49218285999991,0,0,0,0,0,0,0,46.4,"M","EBS",1,5,1
2010-03-23,"M148",1,1,1,0,1,0,0,0,0,0,0,46.4,"M","EBS",1,5,1
2010-03-23,"M149",1,1,0,0.150726166026864,0,0,0,0,0,0,0,46.4,"F","EBS",1,5,1
2010-03-23,"M238",1,1,0,16.1879431166706,0,0,0,0,0,0,0,46.4,"M","EBS",1,5,1
2010-03-23,"M239",1,1,0,0.711928402867458,0,0,0,0,0,0,0,46.4,"M","EBS",1,5,1
2010-03-23,"M240",1,1,1,0,1,0,0,0,0,0,0,46.4,"F","EBS",1,5,1
2010-03-23,"M244",1,1,0,1.81571577164098,0,0,0,0,0,0,0,46.4,"M","EBS",1,5,1
2010-03-23,"M252",1,1,1,0,1,0,0,0,0,0,0,46.4,"F","EBS",1,5,1
2010-03-23,"M257",1,1,1,0,1,0,0,0,0,0,0,46.4,"M","EBS",1,5,1
2010-03-28,"M148",1,1,0,0.459868996589148,0,0,0,0,0,0,0,94.6,"M","EBS",1,5,1
2010-03-28,"M149",2,1,0,0.459868996589148,0,0,0,20,34.4666666666667,0,0.58027079303675,94.6,"F","EBS",1,5,1
2010-03-28,"M238",2,1,0,0.814402638674376,0,0,0,0,10.5,0,0,94.6,"M","EBS",1,5,1
2010-03-28,"M252",1,1,0,0.459868996589148,0,0,0,0,0,0,0,94.6,"F","EBS",1,5,1
2010-03-29,"M118",7,3,0.714285714285714,0.131391141882614,0.714285714285714,0,188.789115746905,228.789115746905,518.766666666667,0.363919133355211,0.441025089790346,98.4,"M","EBS",1,5,1
2010-03-29,"M144",5,3,0,0.496643669475442,0,0,67.6782893563237,107.678289356324,539.833333333333,0.125368859567132,0.199465803068213,98.4,"F","EBS",1,5,1
2010-03-29,"M145",3,1,0,0.53941444073621,0,0,0,20,109.033333333333,0,0.183430143686946,98.4,"M","EBS",1,5,1
2010-03-29,"M149",4,1,0,0.459868996589148,0,0,0,60,184.5,0,0.32520325203252,98.4,"F","EBS",1,5,1
2010-03-29,"M238",7,5,0.142857142857143,0.440789085457268,0.142857142857143,0,266.639924802547,286.639924802547,507.65,0.525243622185654,0.564640844681468,98.4,"M","EBS",1,5,1
2010-03-29,"M239",2,1,0,0.814402638674376,0,0,0,20,38.0333333333333,0,0.525854513584575,98.4,"M","EBS",1,5,1
2010-03-29,"M252",9,4,0.666666666666667,0.0584631435159742,0.666666666666667,0,271.304090343553,291.304090343553,552.083333333333,0.491418729678889,0.527645144773228,98.4,"F","EBS",1,5,1
2010-03-29,"M257",6,2,1,0,1,0,108.16653826392,148.16653826392,205.733333333333,0.525760879442254,0.720187321438365,98.4,"M","EBS",1,5,1
2010-03-30,"M118",9,4,0.555555555555556,0.180421371078202,0.555555555555556,0,295.717823259259,295.717823259259,293.466666666667,1.00767091069716,1.00767091069716,99.8,"M","EBS",1,5,1
2010-03-30,"M137",1,1,0,0.405948084925955,0,0,0,0,0,0,0,99.8,"M","EBS",1,5,1
2010-03-30,"M141",2,1,1,0,1,0,0,0,9.21666666666667,0,0,99.8,"M","EBS",1,5,1
2010-03-30,"M144",1,1,0,0.53941444073621,0,0,0,0,0,0,0,99.8,"F","EBS",1,5,1
2010-03-30,"M145",1,1,0,0.53941444073621,0,0,0,0,0,0,0,99.8,"M","EBS",1,5,1
2010-03-30,"M238",4,2,0,0.218614924345187,0,0,44.7213595499958,64.7213595499958,68.2,0.655738409823985,0.948993541788795,99.8,"M","EBS",1,5,1
2010-03-30,"M239",2,2,0,0.166314118189574,0,0,22.3606797749979,22.3606797749979,9.5,2.35375576578925,2.35375576578925,99.8,"M","EBS",1,5,1
2010-03-30,"M240",6,2,1,0,1,0,40,120,296,0.135135135135135,0.405405405405405,99.8,"F","EBS",1,5,1
2010-03-30,"M252",9,5,0.777777777777778,0.0369586929310165,0.777777777777778,0,260.434378864902,300.434378864902,523.733333333333,0.497265234594391,0.573639980011907,99.8,"F","EBS",1,5,1
2010-03-30,"M257",9,4,0.666666666666667,0.0205708352927828,0.666666666666667,0,363.729945641003,363.729945641003,409.333333333333,0.888591072412873,0.888591072412873,99.8,"M","EBS",1,5,1
2010-03-31,"M118",3,2,0.666666666666667,0.677180977410746,0.666666666666667,0,42.4264068711929,62.4264068711929,79.65,0.532660475470092,0.783759031653394,98.6,"M","EBS",1,5,1
2010-03-31,"M137",1,1,1,0.617477654312789,1,0,0,0,0,0,0,98.6,"M","EBS",1,5,1
2010-03-31,"M141",5,3,0.4,0.20039363149499,0.4,0,131.231056256177,171.231056256177,359.416666666667,0.36512234525252,0.476413789722726,98.6,"M","EBS",1,5,1
2010-03-31,"M142",2,1,1,0.617477654312789,1,0,0,20,131.566666666667,0,0.152014187990879,98.6,"F","EBS",1,5,1
2010-03-31,"M149",2,1,0,0,0,0,0,20,25.9333333333333,0,0.77120822622108,98.6,"F","EBS",1,5,1
2010-03-31,"M238",3,2,0,0.155225130447573,0,0,22.3606797749979,42.3606797749979,276.216666666667,0.0809534053279354,0.153360332257278,98.6,"M","EBS",1,5,1
2010-03-31,"M239",7,2,0,0.181943023181637,0,0,22.3606797749979,102.360679774998,403.05,0.055478674544096,0.253965214675593,98.6,"M","EBS",1,5,1
2010-03-31,"M240",5,2,1,0.246991061725116,1,0,28.2842712474619,88.2842712474619,217.75,0.12989332375413,0.405438673926346,98.6,"F","EBS",1,5,1
2010-03-31,"M252",5,4,0.6,0.190021178138388,0.6,0,176.607624603085,176.607624603085,351.733333333333,0.502106590039096,0.502106590039096,98.6,"F","EBS",1,5,1
2010-03-31,"M257",1,1,1,0,1,0,0,0,0,0,0,98.6,"M","EBS",1,5,1
2010-04-01,"M118",6,3,0.833333333333333,0.235677546319908,0.833333333333333,0,72.4264068711929,112.426406871193,238.466666666667,0.303717110167149,0.471455438375145,95,"M","EBS",1,5,1
2010-04-01,"M141",4,2,0.5,0.0513451334670725,0.5,0,70.7106781186548,110.710678118655,275.5,0.256663078470616,0.401853641084046,95,"M","EBS",1,5,1
